,entity,start,main,age,exp,perf
2490,64,2014-10-02,1,24.18069815195072,28,1794.6121559773253
2491,64,2014-10-30,1,24.257357973990416,30,1790.1720175196972
2492,64,2014-11-13,1,24.295687885010267,31,1788.0012422202537
2493,64,2014-12-06,1,24.358658453114305,32,1780.616730705959
2494,64,2015-01-29,1,24.50650239561944,33,1777.8084347011504
2495,64,2015-02-23,1,24.57494866529774,34,1822.1943131484804
2496,64,2015-03-09,1,24.61327857631759,35,1871.908988276883
2497,64,2015-04-06,1,24.689938398357288,36,1880.39609914413
2498,64,2015-04-11,1,24.70362765229295,38,1871.0903622936867
2499,64,2015-04-14,1,24.711841204654345,39,1845.4535114519786
2500,64,2015-05-13,1,24.791238877481177,40,1839.7254820901312
2501,64,2015-06-03,1,24.84873374401095,41,1836.983642657497
2502,64,2015-06-20,1,24.895277207392198,42,1834.3979885405945
2503,64,2015-07-27,1,24.996577686516083,43,1854.9892763296443
2504,64,2015-11-13,1,25.295003422313485,44,1852.4418035020194
2505,64,2015-12-17,1,25.388090349075977,45,1850.2193937535335
2506,64,2016-01-01,1,25.429158110882955,46,1848.2539905092035
2507,64,2016-01-27,1,25.50034223134839,47,1845.7916704021807
2508,64,2016-02-25,1,25.579739904175224,48,1843.0714952548904
2509,64,2016-03-19,1,25.642710472279262,49,1955.8978286148235
2510,64,2016-05-09,1,25.782340862423,50,1955.662756996009
2511,64,2016-05-18,1,25.806981519507186,51,1950.2512130592877
2512,64,2016-06-03,1,25.8507871321013,52,1925.2998537807835
2513,64,2016-07-02,1,25.930184804928132,53,1939.539719472877
2514,64,2016-07-06,1,25.94113620807666,54,1953.814475283947
2515,64,2016-08-02,1,26.015058179329227,55,1935.3310270314316
2516,64,2017-06-15,1,26.882956878850102,56,1927.9742798575912
2517,65,2013-09-09,2,20.67898699520876,9,1584.2637202197504
2518,65,2013-09-22,2,20.71457905544148,10,1737.3511467743294
2519,65,2013-11-08,2,20.843258042436688,11,1753.0834184324285
2520,65,2013-11-26,2,20.892539356605067,12,1789.5453386911622
2521,65,2013-12-09,2,20.928131416837783,13,1779.7651322445256
2522,65,2013-12-23,2,20.966461327857633,14,1779.848243696523
2523,65,2014-01-07,2,21.00752908966461,15,1777.5088730398854
2524,65,2014-02-24,2,21.138945927446954,16,1789.0698486409685
2525,65,2014-02-25,2,21.141683778234086,17,1795.5665632150499
2526,65,2014-03-26,2,21.22108145106092,18,1812.7423763435736
2527,65,2014-03-29,2,21.229295003422312,19,1833.1459917642512
2528,65,2014-04-09,2,21.259411362080765,20,1852.1567012040766
2529,65,2014-05-24,2,21.38261464750171,21,1848.7991272224253
2530,65,2014-06-02,2,21.4072553045859,22,1840.2566450956872
2531,65,2014-06-04,2,21.412731006160165,23,1831.7164757558037
2532,65,2014-06-05,2,21.415468856947296,24,1833.3091051305018
2533,65,2014-06-16,2,21.44558521560575,26,1828.852306003618
2534,65,2014-06-28,2,21.478439425051334,27,1853.0722117163366
2535,65,2014-07-08,2,21.505817932922657,28,1859.7380234407963
2536,65,2014-08-11,2,21.598904859685145,29,1909.1280312581623
2537,65,2014-09-05,2,21.66735112936345,30,1957.35843193279
2538,65,2014-09-09,2,21.678302532511978,31,2006.9525035439874
2539,65,2014-09-12,2,21.686516084873375,32,2009.491822522958
2540,65,2014-10-02,2,21.741273100616016,33,2003.7039425090932
2541,65,2014-10-09,2,21.760438056125942,34,2012.464293766669
2542,65,2014-10-30,2,21.817932922655714,35,2013.4644673214366
2543,65,2014-11-17,2,21.867214236824093,36,1990.1116458789172
2544,65,2014-12-03,2,21.911019849418206,37,1983.9208080782907
2545,65,2015-01-29,2,22.067077344284737,38,1969.4513250804816
2546,65,2015-02-23,2,22.135523613963038,39,2013.8372035278117
2547,65,2015-03-09,2,22.17385352498289,40,2063.5518786562143
2548,65,2015-04-06,2,22.250513347022586,41,2072.038989523461
2549,65,2015-04-11,2,22.26420260095825,43,2062.733252673018
2550,65,2015-04-14,2,22.272416153319643,44,2037.0964018313098
2551,65,2015-05-13,2,22.351813826146476,45,2031.3683724694624
2552,65,2015-06-03,2,22.409308692676248,46,2028.6265330368283
2553,65,2015-06-20,2,22.455852156057496,47,2026.0408789199257
2554,65,2015-07-27,2,22.55715263518138,48,2046.6321667089755
2555,65,2015-10-26,2,22.806297056810404,49,2056.2992501796134
2556,65,2015-11-13,2,22.855578370978783,50,2053.4147752592758
2557,65,2015-12-09,2,22.926762491444215,51,2051.1766041408223
2558,65,2015-12-25,2,22.97056810403833,52,2048.9460134996607
2559,65,2016-01-01,2,22.989733059548254,53,2046.9449939148344
2560,65,2016-01-27,2,23.06091718001369,54,2044.6296635666831
2561,65,2016-02-25,2,23.140314852840522,55,2042.0811698399634
2562,65,2016-05-18,2,23.367556468172484,56,2019.4396430447032
2563,65,2016-06-30,2,23.485284052019164,57,2010.8206397969993
2564,65,2016-07-02,2,23.49075975359343,58,2001.252766813729
2565,65,2016-07-20,2,23.540041067761805,59,1996.8372811021422
2566,65,2016-07-23,2,23.548254620123203,60,1994.5080404591858
2567,65,2016-10-05,2,23.750855578370977,64,2039.3508263373622
2568,65,2016-10-16,2,23.78097193702943,65,2093.8714651275
2569,65,2016-12-03,2,23.912388774811774,66,2112.655458399842
2570,65,2017-03-15,2,24.191649555099247,67,2117.496270702201
2571,65,2017-03-27,2,24.22450376454483,68,2109.1173176666575
2572,65,2017-06-04,2,24.413415468856947,69,2106.6524907278017
2573,65,2017-07-05,2,24.49828884325804,70,2104.100289491313
2574,65,2017-08-02,2,24.57494866529774,71,2115.3008452412564
2575,66,2013-09-09,3,21.492128678986994,9,1584.2637202197504
2576,66,2013-09-22,3,21.527720739219713,10,1737.3511467743294
2577,66,2013-11-08,3,21.65639972621492,11,1753.0834184324285
2578,66,2013-11-26,3,21.7056810403833,12,1789.5453386911622
2579,66,2013-12-09,3,21.741273100616016,13,1779.7651322445256
2580,66,2013-12-23,3,21.779603011635867,14,1779.848243696523
2581,66,2014-01-07,3,21.82067077344285,15,1777.5088730398854
2582,66,2014-02-24,3,21.95208761122519,16,1789.0698486409685
2583,66,2014-02-25,3,21.95482546201232,17,1795.5665632150499
2584,66,2014-03-26,3,22.034223134839152,18,1812.7423763435736
2585,66,2014-03-29,3,22.04243668720055,19,1833.1459917642512
2586,66,2014-04-09,3,22.072553045859,20,1852.1567012040766
2587,66,2014-05-24,3,22.195756331279945,21,1848.7991272224253
2588,66,2014-06-02,3,22.220396988364133,22,1840.2566450956872
2589,66,2014-06-04,3,22.2258726899384,23,1831.7164757558037
2590,66,2014-06-05,3,22.22861054072553,24,1833.3091051305018
2591,66,2014-06-16,3,22.258726899383984,26,1828.852306003618
2592,66,2014-06-28,3,22.29158110882957,27,1853.0722117163366
2593,66,2014-07-08,3,22.31895961670089,28,1859.7380234407963
2594,66,2015-02-23,3,22.94866529774127,31,1898.2723957246626
2595,66,2015-04-06,3,23.06365503080082,32,1877.1688005648987
2596,66,2015-04-11,3,23.077344284736483,33,1890.1958661198862
2597,66,2015-04-14,3,23.085557837097877,34,1898.4836058033468
2598,66,2015-05-07,3,23.148528405201915,35,1911.8215235767668
2599,66,2015-06-03,3,23.222450376454482,36,1909.1274254903703
2600,66,2015-07-27,3,23.370294318959616,37,1914.9210390755138
2601,66,2015-10-16,3,23.592060232717316,38,1912.1282050612606
