,entity,start,prizeusd,perf1,perf2,perf3,perf4,perf5
705,29,2016-10-16,29036.0,1483.2199578509787,1703.005833871638,1892.220210746682,2123.293890796535,1807.777737539555
706,29,2016-05-18,14000.0,1956.3591415407582,1828.4761974907244,1819.393298831941,1742.2136918051685,1925.9391764926195
707,29,2016-09-23,238000.0,1441.049107859356,1660.8349838800152,1842.7864945747044,2081.1230408049123,1765.606887547932
708,29,2017-03-15,32667.8,1494.3046379842483,1714.0905140049076,1903.3048908799517,2134.3785709298045,1818.8624176728247
709,29,2014-09-12,16161.0,1783.6048654825158,1739.6816512061805,1644.8129703310574,1852.9765956583321,1783.6048654825158
710,29,2016-05-09,100000.0,1961.7706854774797,1833.8877414274457,1824.8048427686622,1931.3507204293408,1747.6252357418898
711,29,2017-01-06,50000.0,1474.6418939929672,1694.4277700136267,1883.6421468886706,2114.7158269385236,1799.1996736815436
712,29,2015-11-13,30000.0,1858.5497319834901,1730.6667879334564,1696.6774675631887,1774.5900022097915,1593.84503919187
713,29,2015-05-09,0.0,1656.0154967013507,1750.8841775764738,1520.645444501727,1794.8073918528091,1864.1791220286254
714,29,2014-06-16,1000.0,1757.8175234535404,1713.894309177205,1944.8026247064222,1757.8175234535404,1827.1892536293567
715,29,2017-06-15,69000.0,1499.0719168554115,1718.8577928760708,1908.0721697511149,1823.6296965439876,2139.145849800968
716,29,2014-11-13,25000.0,1780.7657415878355,1736.8425273115004,1641.9738464363772,1780.7657415878355,1850.1374717636518
717,29,2016-09-28,50000.0,1453.8330943022568,1673.618970322916,1855.5704810176053,1778.390873990833,2093.907027247813
718,29,2017-07-05,31250.0,1496.3860604965723,1716.1719365172316,1905.3863133922755,2136.4599934421285,1820.9438401851485
719,29,2014-05-24,16031.0,1746.4326120992234,1702.5093978228883,1933.4177133521055,1746.4326120992234,1815.80434227504
720,29,2015-06-03,0.0,1649.9129770039888,1744.7816578791121,1514.5429248043654,1788.7048721554472,1858.0766023312635
721,29,2015-05-07,8068.5,1667.565193307521,1762.4338741826443,1532.1951411078976,1806.3570884589794,1875.7288186347957
722,29,2016-01-27,0.05,1851.8995988836514,1724.0166548336174,1690.02733446335,1821.4796338355125,1629.8470428607816
723,29,2016-10-14,11888.0,1458.98025381733,1678.7661298379896,1839.2463390328778,2099.0541867628863,1783.5380335059065
724,29,2016-07-06,100609.6,1959.9224037654178,1832.039459715384,1810.4523978594318,1929.502438717279,1733.2727908326597
725,29,2016-07-02,37567.5,1945.6476479543478,1817.764703904314,1796.1776420483618,1915.2276829062089,1718.9980350215897
726,29,2014-12-06,24249.0,1773.381230073541,1729.458015797206,1634.5893349220826,1773.381230073541,1842.7529602493573
727,29,2014-10-30,4888.65,1782.936516887279,1739.0133026109438,1644.1446217358205,1782.936516887279,1852.3082470630952
728,29,2016-01-01,15368.0,1854.361918990674,1726.4789749406402,1692.4896545703727,1823.9419539425353,1632.3093629678044
729,29,2016-09-20,29966.0,1412.7846474843445,1632.570523505004,1814.5220341996933,2052.858580429901,1737.342427172921
730,29,2017-05-18,10000.0,1506.7767632855741,1726.5626393062335,1915.7770161812775,1831.3345429741503,2146.8506962311303
731,29,2016-12-03,62500.0,1471.149704716251,1690.9355807369104,1880.1499576119543,2111.2236376618075,1795.7074844048273
732,29,2014-07-08,5025029.0,1789.2513209940894,1745.328106717754,1976.2364222469712,1789.2513209940894,1858.6230511699057
733,29,2015-07-27,55289.0,1638.345579885958,1733.2142607610813,1502.9755276863345,1846.5092052132327,1777.1374750374164
734,29,2016-08-02,311557.0,1941.4389555129023,1813.5560114628686,1791.9689496069163,1911.0189904647634,1714.789342580144
735,29,2017-08-02,3950067.0,1502.5603413656127,1722.346217386272,1911.5605942613158,1827.1181210541888,2142.634274311169
